"plotID","plot.area","density","q0","q1","q5","q25","q50","q75","q95","q99","q100","rumple","top.rugosity","mean.max.canopy.ht","max.canopy.ht","deepgap.fraction","meanH","vert.sd","vertCV","mean.sd","sd.sd","GC","GFP","VCI","FHD","LAI","LAI_subcanopy","ModeLocation","PeaksVarience","HeightRatio"
"A5060","261.3","140.332950631458","0.5","1.26","2.79","6.04","11.92","20.27","24.37","25.64","26.97","3.13124619866727","3.8240103777372","22.4139455782313","26.97","0.188365650969529","13.0847986037252","7.52016871121392","0.574725598686168","6.62517409931673","1.76474307193348","0.329240398424295","0.92155476963218","0.689211069966244","2.94635431611726","2.51496893564313","1.01399036881753","1","38.8","45.0677506775068"
"A5076","261.5","165.422562141491","0.5","0.59","0.93","2.45","4.05","8.2","15.15","16.51","17.96","2.33376610347125","4.68740591511421","10.0256040268456","17.96","0.215789473684211","5.76771602940497","4.52121174625018","0.783882514881132","2.84327023985157","1.71486632789206","0.420458955632885","0.904741658148593","0.56130241921738","2.15788335042609","1.698818601461","1.27338265888912","1","0","75.109649122807"
"A5077","261.6","156.269113149847","0.52","1.94","2.54","3.69","11.98","18.65","21.13","21.99","23.15","2.67174935150138","2.908288066218","19.8383277591973","23.15","0.213157894736842","11.3231409001957","7.26971100270023","0.642022480050088","6.8642304723312","1.37939571323887","0.359596829353498","0.876169166991399","0.588172588282938","1.98804641005634","4.39817609077669","3.54372911135587","1","56.3333333333333","42.3561980928945"
"A5078","261.3","114.990432453119","0.5","0.53","0.72","2.04","4.01","5.43","9.32","10.76","11.74","2.06960886833804","2.24501490813106","6.46520408163265","11.74","0.226315789473684","4.12257829400606","2.50282275281259","0.607101326966068","1.86236257774547","0.771376527868501","0.338220596228003","0.886407033430675","0.482047685787392","1.90047809557359","1.31398796707615","1.04438231993295","1","0","96.3056680161943"
"A5083","261.6","136.544342507645","0.5","0.53","0.67","1.53","2.84","7.85","14.18","15.89","18.09","3.29463062441851","4.94214377897704","10.2345302013423","18.09","0.215789473684211","5.03071444568869","4.56881484137522","0.908184094068524","3.41119511426878","1.69445528682216","0.482443106290113","0.919969698241871","0.535674443676858","2.14865457778566","1.31471604073427","0.882127534182636","1","0","73.1954582319546"
"A5089","219","109.954337899543","1.77","3.04","4.28","8.22","11.31","12.86","17.1","18.88","19.88","2.37881969528488","5.9447041654262","11.1239322033898","19.88","0.332409972299169","10.6972832225914","3.54820983161871","0.331692613702638","2.58799998840336","1.15197308850884","0.186528107722194","0.91933356317152","0.565944912456806","2.60028598227036","1.45981876163692","0.256678627794896","0","20.3333333333333","54.9019607843137"
"A5100","261.5","152.038240917782","0.5","0.59","1","5.54","8.32","17.41","23.27","24.41","25.21","3.9030162693134","5.10596595355152","18.1160810810811","25.21","0.18005540166205","10.9830896926405","7.15595923221989","0.651543366436763","5.10567240367436","1.5691394560511","0.370186912410881","0.926748945842739","0.671352426729305","2.87932576433635","1.68555561601121","0.504500291025477","1","0","56.8560927339553"
"A5119","261.2","111.745788667688","0.5","0.75","1.96","4.2","6.04","8.49","12.45","13.6113","15.28","2.58984047866082","2.54942977740331","11.1292150170648","15.28","0.228947368421053","6.55342400986707","3.17885732326495","0.485068159557317","2.87228118169882","0.850206421291049","0.274124582162345","0.891705822194059","0.542314060857213","2.33370397684271","1.63632184639474","0.907702065495915","1","0","77.3556797020484"
"A5131","261.4","154.276970160673","0.5","0.64","1.2","2.78","7.78","13.01","17.46","18.89","20.91","3.74380338822952","4.74334819719039","14.1039527027027","20.91","0.18005540166205","8.25855485022813","5.5081807381774","0.666966659187987","4.24694468394","1.3710189820889","0.381715228287238","0.912728437872589","0.624730340831825","2.50501829521756","1.89275147322517","1.07053200958228","1","17.3333333333333","61.9642254471819"
"A516","261.4","152.601377199694","0.5","0.53","0.66","1.32","14.83","19.32","21.58","22.4","23.33","2.34762233697585","3.4874429577575","19.6565436241611","23.33","0.177285318559557","11.9763685134119","8.13770758282846","0.679480392884985","7.45887023717202","1.31020062204666","0.377238272934948","0.933864051231643","0.596589367194229","2.76328214156198","1.17185440671436","0.330672954074308","0","34.7","37.5917278185457"
"A5164","261.1","106.472615855994","0.5","0.56","0.94","3.2","6.59","11.66","14.21","15.16","17.4","2.4811382809157","3.06567323527455","11.7940878378378","17.4","0.182825484764543","7.28061978417266","4.53110987554244","0.622352218610924","3.56572129993708","1.07383423732457","0.357064922041876","0.91087982467535","0.587243559618649","2.48889334212357","1.44025974352524","0.78272004742225","1","17.3333333333333","69.277799006496"
"A5179","261.5","143.674952198853","0.5","0.68","1.22","2.38","3.5","15.99","20.98","23.25","26.85","3.8201783449481","4.7368098011961","19.1668367346939","26.85","0.185595567867036","8.40471693593463","7.42684550044139","0.883652067886746","6.73354797231991","1.67992640643582","0.475028362711344","0.930270914201468","0.579803104605697","2.03208318740264","2.02944155862572","1.55928486945551","1","0","49.6261046906866"
"A5196","261","102.88122605364","0.5","1.49","2.8","7.7075","14.61","18.88","20.6","21.35","22.48","2.52586806426297","3.84824527300076","18.9335135135135","22.48","0.182825484764543","13.0624676001788","6.18281347405135","0.473326607444886","5.43619339673703","1.54318017291641","0.268842920604593","0.924805718970339","0.638000277021602","2.96924254332304","1.67688414824721","0.448197286193634","0","42.25","46.7380394780863"
"A5197","261.1","108.157793948679","0.5","0.56","0.97","2.26","7.66","12.96","16.31","18.36","20.59","2.89361976430832","3.62576873365351","13.8676530612245","20.59","0.188365650969529","7.92574681303116","5.52997986489983","0.697723507368124","4.62466757735961","1.36596179664119","0.396266914142839","0.92833491044123","0.600956289068244","2.49237324340624","1.46060110841704","0.799855043805779","1","0","57.8260869565217"
"A588","248.7","87.7724165661439","0.5","0.58","1.5","9.91","18.67","21.51","23.67","24.48","25.26","3.7133047687237","8.87697527727174","17.8408783783784","25.26","0.307479224376731","15.7478436941683","7.31865471736648","0.464740116774","5.40230283462729","2.60383342043959","0.253410282557411","0.937467349212836","0.652406448479774","3.07158470508622","1.42109675599236","0.328535913424486","0","52.6666666666667","37.7317809400604"
